Institute,CollegeState,BranchShortcut,DegreeType,Quota,SeatType,Gender,PredictedClosingRank2026,InstituteType,GlobalPrestigeIndex,GlobalBranchPopularity
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,EWS,Gender-Neutral,9848,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,24639,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OBC-NCL (PwD),Gender-Neutral,1694,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),67747,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OPEN,Gender-Neutral,65767,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,2686,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,SC,Gender-Neutral,12130,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,ST,Gender-Neutral,6236,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,HS,EWS,Gender-Neutral,26690,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,HS,OPEN,Female-only (including Supernumerary),146011,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,HS,OPEN,Gender-Neutral,136898,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,HS,SC,Gender-Neutral,29889,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,HS,ST,Gender-Neutral,22535,GFTI,98,118
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,EWS,Gender-Neutral,9697,GFTI,98,112
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,23326,GFTI,98,112
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,OBC-NCL (PwD),Gender-Neutral,1909,GFTI,98,112
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,ELECTRONICS AND COMMUNICATION ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),66284,GFTI,98,112
